user,priority
hamendra_khatik,2.0
praveen_chundawat__82_mlsu,2.0
chirag.mewara,2.0
vaishnavhimank,2.0
vandana_595,2.0
praveen_jat_abvp,2.0
chirag_kanthalia,2.0
kamlesh7332,2.0
kamlendra_singh_solanki_mlsu,2.0
kr_bheru_singh_bemla,2.0
praveensuthar5125,2.0
kamlendra_singh_chundawat_7773,2.0
gurjarsachin60,2.0
chora_meghwal_ka_,2.0
mr__ravidaa,2.0
choubisa_hitesh3,2.0
jeetsujawat,2.0
the_street_fighter_07,2.0
nishaparmar_,2.0
dkr_s_a_n_t_y,2.0
arvind_patelsa,2.0
dineshsinghchouhan_7773,2.0
itz_sonu_sharma_kedariya_0984,2.0
jahnvi_mehta_mission.2k20,2.0
__mr__chandu,2.0
rakesh_paliwal_08,2.0
jaya___sarangdevot,2.0
arvind_singh_rajawat326,2.0
rajendra_rathore_kama_7773,2.0
solanki.official_09,2.0
divyansh.__.goswami,2.0
meenakshi_8999,2.0
shreshtha_rani,2.0
meemansa01,2.0
manoj5003,2.0
rahul_sharma_5445,2.0
__mr_abhi.01,2.0
mayank____choudhary,2.0
___mohit._.singh1805,2.0
atul_janwa,2.0
ravi_kumar_0737_mlsu,2.0
meghwalhitesh,2.0
_0_tushar_0_,2.0
jaychouhan29,2.0
official_vickykhichi_143,2.0
rajnikunwer,2.0
niteshlohar1234,2.0
dhruv_bolia_72,2.0
lokesh_karohi,2.0
manish_uccms_mlsu_,2.0
yash_r4488,2.0
yash_meena_07,2.0
apnamlsu,2.0
itz_vishal_prajapat,2.0
m.s._patel_8537,2.0
solanki_vijendra_singh,2.0
manohar_rathore_,2.0
mahipal_sa_madri,2.0
rahulmeghwal106,2.0
arjun.singh.chouhan.7773,2.0
yogeshpatel7989,2.0
mayankprj500,2.0
lucky_diwer,2.0
jatkamlesh8875,2.0
ramesh_choudhary_mlsu,2.0
dishu__73,2.0
nilu_nils_gswmi,2.0
werewolf____18,2.0
rajesh_dhakad_mewar,2.0
ohi_pc_patel_,2.0
y_u_k_k_i_i_007,2.0
jatin_dhakr,2.0
jatin_rajpal_,2.0
jatindak15,2.0
yogesh_harmoravat,2.0
shravan_singh_asoliya,2.0
dhakad_rahul_,2.0
dhakad_prince_ak47,2.0
yogi_.0,2.0
_.ll.___govind_suthar___.ll._,2.0
___yashikaa__,2.0
janwa_sharvan,2.0
nitinpurbia2002,2.0
dipps_paliwal,2.0
shubhamchordia98,2.0
mahesh_joshi_mlsu,2.0
dhakad_krish,2.0
jainmogra,2.0
manohar_dangi_143,2.0
dhakar_lk_72,2.0
jatt_pintu007,2.0
__himanshu_joshi__,2.0
yogitbhatt01,2.0
dhakar_gopal909,2.0
vj_beniwal_24,2.0
rahul_mittal_agrawal,2.0
ashish__modi__teli__,2.0
raj_ucos_901,2.0
official_lalit_suthar_mlsu,2.0
rajveer_ranawat_th.sarangpura,2.0
dimpal_prajapat22,2.0
mahaveershrimali,2.0
shivam_karda_mlsu,2.0
itscharannitesh,2.0
farhanpatel7712,2.0
devendrasinghchundawat5,2.0
balveermeena05,2.0
shubham.chaturvedi.9615,2.0
avish_bandwal,2.0
rahul_chandel7926,2.0
ll_dipsy__ll,2.0
manraj1183,2.0
rajveer.salvi,2.0
sid_dharth_jangid2119,2.0
11ad_r_jain_97,2.0
ransa_lunawas,2.0
anshul_parmar_surajpole_mewar,2.0
vishun_sahu_gilund,2.0
irfan_raees_9587,2.0
dk_obrawal8,2.0
yashpal_singh_bhati_desuri,2.0
ravindra_ahir_,2.0
09jitendra_chawda,2.0
rajat_04_19,2.0
manthan_sharma_official28,2.0
mepuranpatel_333,2.0
nitesh_dhaker20,2.0
dinesh_singh_punia,2.0
rajubannabarodiya,2.0
balwant_singh_chainpura_mlsu,2.0
shivbhakt1995,2.0
yuvraj_singh_sisodiya_chiksa,2.0
avinashdhakad10,2.0
jeet_ranawat_23,2.0
rahul_gurjar_koli_mlsu77,2.0
mahipal_singh_mewar,2.0
manish_lohar_312,2.0
divyanshu__chouhan_,2.0
dhaker__deepak,2.0
dinesh_katariya007,2.0
ravikamra861,2.0
freakin_ravi_nalwaya,2.0
nirmal_palsaniya,2.0
yashikarathore76,2.0
mattaashish,2.0
____nirbhaysinghrawal,2.0
nvn_dhaker_007,2.0
spr_deepak,2.0
divyanshu.choudhary_,2.0
pawanjat1,1.0
official_lokesh_choudhary291,1.0
pawanpatel294245,1.0
pihu__dhakar,1.0
pihu_shorya,1.0
official_luksa_goswami,1.0
pikku.gehlot_mlsu,1.0
official_mohit_rathore,1.0
official_mahipal_singh_jhala,1.0
pawan_shine,1.0
pihu_sahu.14,1.0
official_jagdish_gurjar,1.0
pawan_saa199,1.0
pawanjaat_6464,1.0
official_manu_777,1.0
photographer__vicky,1.0
official_kirpal_banna_7773,1.0
physio_gk,1.0
pb_07_wala_sukhi,1.0
payaljangir949,1.0
pcjanwakarju,1.0
payalchauhan1128,1.0
official_karanraj_sisodiya,1.0
payalamarwal,1.0
payal_suthar__,1.0
payal_pateliya,1.0
perfect___killer,1.0
perfectly_immature,1.0
peter_aryan_9018,1.0
