user,priority
royal_banna_ts,1.0
royal_banna_dhakar_5555,1.0
rpsc225,1.0
rpshaktawat_07,1.0
rpurohit38,1.0
rr_thakor_1469,1.0
rudrapratap_singh_gahlot,1.0
rudrapatel7619,1.0
rudraksh_pratap_7777,1.0
rudraksh77c,1.0
rudra_pratap_singh____7773,1.0
rudra_dangi_79,1.0
rudra_banna_shishvi,1.0
rudra.pratap.singh.deora,1.0
rudra.choudhary,1.0
ruchikasingh0401201,1.0
ruchikashrotriya725,1.0
ruchika_wadhwani,1.0
ruchi_tailor,1.0
rubendayal_official,1.0
rtwisha2001,1.0
rtlahmd_75,1.0
rsurendra1702,1.0
rskurwadiya,1.0
rsjhala_kotdi,1.0
rsingh1488,1.0
rschauhan98,1.0
rs_rajveersingh,1.0
rrrrrrrrrrrrrr9283,1.0
rrrganeshrana,1.0
rrajput49,1.0
royal_banna.rj07,1.0
royal_baman0,1.0
royal__pirji_boy,1.0
roopkunnu,1.0
ronsi7777,1.0
rohit_ahari_91,1.0
ronitmoolchandani,1.0
ronitjajot,1.0
ronit_vaishnav.2701_uccms_mlsu,1.0
ronit_jitendra_handloom,1.0
ronit_choubisa,1.0
roniheartlover,1.0
roni_00777,1.0
ronaq66,1.0
ronaksinh18,1.0
ronaksingh585,1.0
ronakraj_singh,1.0
ronakpokharna2000,1.0
ronakdave45969,1.0
ronak_sahu_mlsu,1.0
ronak_raj_mali_,1.0
ronak_nayak007,1.0
ronak_kothari16,1.0
ronak_jalwa,1.0
ronak_gour_,1.0
ronak_goswami11,1.0
ronak_dodiyar,1.0
ronak_chundawat,1.0
ronak_bohra_rk,1.0
rony_kalasua,1.0
roseahmed786,1.0
royal__damor56,1.0
roshan._.meghwal,1.0
royal__bhamsaa,1.0
royal___dev_sa533,1.0
royal.tadvi,1.0
royal.patel.0058,1.0
royal.kamalkumawat,1.0
royal.jangid.242728,1.0
royal.baisa.monnie,1.0
roy_roy_82557,1.0
rowdy_chora_333,1.0
rounak_nagda,1.0
rounak799,1.0
rounak1109,1.0
roshni5529,1.0
roshansuthar_24,1.0
roshanroshan6028,1.0
roshanrajsaini7770,1.0
roshanpateldaroli,1.0
roshanlal.jatiya,1.0
roshankatara786,1.0
roshanjangid4841,1.0
roshanilabana,1.0
roshandangiroshan,1.0
roshandangi6567,1.0
roshan_patel_mlsu,1.0
roshan_bhandure,1.0
rohit_anjana_08,1.0
rmeshaapttel,1.0
rohit_aanjana_patel,1.0
rihan_choubisa,1.0
rishabh_vidhayak,1.0
rishabh_jain_17_10,1.0
rishabh_duggar_,1.0
rishabh_dagle_,1.0
rishabh_7773,1.0
rishab_bhatnagar220,1.0
risan_mollah,1.0
rinkutanwar86,1.0
rinkuchundawat44,1.0
rinkaljainnn,1.0
rimspoonia,1.0
rimjhim4445,1.0
ridi_nimawat,1.0
reyansh_gehlot.2805,1.0
ridhy_9045,1.0
ridhima_53,1.0
riddhi_trivedi123587,1.0
riddhi8882,1.0
ricky_boy_mr_sundawat,1.0
richkwakuforever,1.0
riazbhaijan,1.0
ri.shi4805,1.0
rhythmsood855,1.0
rhythm_ameta_s066,1.0
rheitahayati_,1.0
reyhanecheraghali1372222222,1.0
rishabhjain0108,1.0
rishabhjat000,1.0
rishabhr68,1.0
rishabhsingla2,1.0
ritik_sharma_mlsu,1.0
ritik_doulpura,1.0
ritik_baheti,1.0
ritik___mark,1.0
ritik.ameta_,1.0
riteshtailor1,1.0
riteshkochel23,1.0
ritesh_joshi_pandit,1.0
ritesh_gupta121,1.0
ritesh______joshi125,1.0
ritdulawat17,1.0
risky_mkk,1.0
risky_girl_nikky__roy,1.0
risky_boy_dinesh.123,1.0
riski_shub,1.0
rishu123s,1.0
rishu.rio,1.0
rishitandon23,1.0
rishitabhalawat,1.0
rishirajnagda8,1.0
rishi_raj_bhati,1.0
rishi_menaria,1.0
rishi_gehlot_123,1.0
rishi3953,1.0
rishbhchuhan,1.0
reyansh_raj_dhaybhai,1.0
revvalittlemoree,1.0
rohit__dhakad,1.0
rawatdinesh76,1.0
rd_dhakad_ak47,1.0
rcmbusiness_official_page,1.0
rbvijayrawat,1.0
rbs_ritu_kumar,1.0
rbmindana,1.0
rb_gujjar_65,1.0
razzaan72,1.0
raytala_kartavya,1.0
raypuraharesh,1.0
rayka8242,1.0
rayka4882,1.0
rawdy.rathore,1.0
rawat_chirag_singh,1.0
revolver_rani_maya,1.0
rawat.davil.79,1.0
rawal_sudhanshu,1.0
rawal_lokendra_singh_mlsu,1.0
ravsarathore,1.0
ravnaa__,1.0
ravisidhu880,1.0
ravishnagori,1.0
ravisharma5390,1.0
ravisewta,1.0
ravisen4545,1.0
ravisawa,1.0
ravisahu69583,1.0
rdsbhati,1.0
rdx__badmash,1.0
rdx_bhai_rawat_jatt,1.0
